laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
1618,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,14.558551925918653,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,447.0090716445031
1619,Acer,Aspire E5-576G,Notebook,16.790289507583108,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.2kg,755.3096136537728
1620,Dell,Inspiron 5770,Notebook,16.084161329537345,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg,848.6016235530714
1621,HP,ZBook 15,Workstation,16.067275769407814,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia Quadro M2200,Windows 10,2.6kg,2450.800889597947
1622,HP,15-bs005nv (i3-6006U/4GB/1TB,Notebook,16.028893248572764,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon 520,Windows 10,2.1kg,454.84238370135176
1623,Lenovo,Yoga 500-14IBD,2 in 1 Convertible,12.905375734276378,Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.8kg,721.9152302838712
1624,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,14.371220725766133,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,993.2561451080676
1625,Razer,Blade Pro,Gaming,12.723679558900193,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,3660.1395802678794
1626,Lenovo,Legion Y520-15IKBN,Gaming,15.698780258093327,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,1122.6283203752823
1627,MSI,GL72M 7REX,Gaming,17.32165847952112,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,1455.8519673130852
1628,Dell,Inspiron 5770,Notebook,16.51499548005265,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,1196.7044520075874
1629,Lenovo,ThinkPad T570,Notebook,16.999223066792833,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.99kg,1797.554757478178
1630,MSI,Leopard GP72M,Gaming,17.83295837840432,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,1385.9484240102788
1631,Dell,Inspiron 5570,Notebook,16.05170368387819,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,873.8559490215225
1632,Lenovo,Legion Y520-15IKBN,Gaming,17.11716415225164,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4kg,824.360638504876
1633,Lenovo,IdeaPad 320-15ISK,Notebook,15.245591673505533,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.2kg,565.4091679610916
1634,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,16.580475737444093,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.1kg,647.3295352864822
1635,Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.319567382594803,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Windows 10,2kg,287.369270423303
1636,Lenovo,ThinkPad X1,2 in 1 Convertible,13.58688588988917,IPS Panel Touchscreen 2560x1440,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.36kg,1729.895794064109
1637,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,12.922273495352425,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,2289.2446514973276
1638,Asus,ROG G701VO,Gaming,16.18509591373642,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,64GB,1TB SSD,Nvidia GeForce GTX 980 ,Windows 10,3.58kg,3662.363214634487
1639,Lenovo,N42-20 Chromebook,Notebook,13.823199593060746,1366x768,Intel Celeron Quad Core N3160 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.5kg,314.804488920591
1640,Acer,Nitro AN515-51,Gaming,15.723561488848782,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,986.5861959333804
1641,Lenovo,Thinkpad X260,Ultrabook,12.237339035454777,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,8GB,180GB SSD,Intel HD Graphics 520,Windows 10,1.3kg,969.4199633715152
1642,Razer,Blade Pro,Gaming,13.748909338120946,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,2491.1419856731372
1643,Lenovo,ThinkPad E570,Notebook,14.697508725545525,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,883.3185698335324
1644,Dell,Inspiron 7577,Gaming,16.587009747078678,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,1056.3244025129723
1645,Dell,Inspiron 5567,Notebook,14.91547528082655,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Linux,2.32kg,620.7060664579603
1646,Mediacom,SmartBook 141,Notebook,12.648258468357993,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,32GB SSD,Intel HD Graphics,Windows 10,1.4kg,242.2229264832201
1647,Lenovo,IdeaPad 110-17ACL,Notebook,18.14990909244508,1600x900,AMD A8-Series 7410 2.2GHz,4GB,128GB SSD,AMD Radeon R5,Windows 10,2.6kg,553.548622215025
1648,Dell,Vostro 5471,Ultrabook,13.574488449989174,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg,780.3282745345579
1649,HP,EliteBook 850,Ultrabook,15.788975479122039,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,1506.6107419286745
1650,Dell,Vostro 5568,Notebook,15.630526257143488,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce GT 940MX,Linux,1.98kg,1031.6986095291688
1651,Lenovo,Thinkpad X270,Ultrabook,12.45866276118251,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,1625.9815334354753
1652,Toshiba,Portege X30-D-10X,Notebook,13.164993854484763,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.05kg,1329.8811057195744
1653,Lenovo,ThinkPad T560,Notebook,16.80795250411723,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2.3kg,1129.3898278793472
1654,HP,Probook 450,Notebook,16.92902113092391,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.70GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04kg,814.2505383340292
1655,HP,17-bs000nv I3,Notebook,18.336866920486106,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 520,Windows 10,2.5kg,577.5559886091238
1656,Acer,Chromebook C738T-C2EJ,2 in 1 Convertible,11.573738980521037,IPS Panel Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25kg,390.5501887937663
1657,Asus,Rog Strix,Gaming,15.97458313387207,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.25kg,2422.595199674668
1658,MSI,Leopard GP72M,Gaming,18.21336991168516,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,1516.9916684981254
1659,Lenovo,Yoga 700-11ISK,2 in 1 Convertible,12.166772002328141,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core M m7-6Y75 1.2GHz,8GB,256GB SSD,Intel HD Graphics 515,Windows 10,1.1kg,1127.7237501041532
1660,Dell,Latitude 3580,Notebook,16.806473735054237,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.06kg,951.8142016516629
1661,Dell,Inspiron 5379,2 in 1 Convertible,13.764795254441536,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg,894.0358651283926
1662,Asus,Rog G752VS-BA171T,Gaming,16.204051836619723,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.3kg,2054.5102518105373
1663,Lenovo,Yoga 700-11ISK,2 in 1 Convertible,11.467686096024266,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core M m7-6Y75 1.2GHz,8GB,256GB SSD,Intel HD Graphics 515,Windows 10,1.1kg,1480.045115373935
1664,HP,ProBook 450,Notebook,15.521745370382593,1366x768,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.04kg,736.9920952075133
1665,Lenovo,Ideapad 320-15IKBN,Notebook,14.445027208881273,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.2kg,531.5553870311911
1666,Asus,Chromebook Flip,2 in 1 Convertible,13.402794568180246,Full HD 1920x1080,Intel Core M M7-6Y75 1.2GHz,8GB,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,1.2kg,1297.7378407791741
1667,HP,ZBook 15u,Notebook,16.54072193096352,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD FirePro W4190M ,Windows 10,1.9kg,1078.0677569353363
1668,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,17.137578405033025,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,Windows 10,2kg,368.68572729670046
1669,Lenovo,ThinkPad T470,Notebook,13.231200313340793,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.65kg,1716.5614899934453
1670,Asus,Rog GL753VE-GC070T,Gaming,16.983380013327633,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,3kg,1465.709858845643
1671,Dell,Inspiron 5379,2 in 1 Convertible,12.352782066596205,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg,711.6838303466121
1672,Lenovo,IdeaPad 320-15ISK,Notebook,16.178031752174796,1366x768,Intel Core i3 6006U 2GHz,8GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.2kg,531.9042494801691
1673,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,18.89450853180025,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg,787.3623241353458
1674,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.005555573197892,1366x768,Intel Core i7 6500U 2.5GHz,4GB,500GB HDD,Nvidia GeForce 920M,Windows 10,2.2kg,702.018046767784
1675,HP,ProBook 430,Notebook,13.232360296601025,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.49kg,710.1414134148249
1676,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,15.333756180117662,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.38kg,1542.899933840807
1677,Dell,Inspiron 3567,Notebook,16.3560032128888,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,365.7869185021275
1678,HP,Spectre X360,Ultrabook,14.526340406958495,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.32kg,1462.2200371462384
1679,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.511564221927445,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,806.497949918567
1680,Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Notebook,15.92005370845618,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB HDD,Intel HD Graphics 620,Windows 10,2.3kg,651.9103236727677
1681,Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,17.130191618111773,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,1.90kg,873.9271395239481
1682,Dell,XPS 13,Ultrabook,14.274856379670714,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,1251.8362985352678
1683,Toshiba,Tecra X40-D-10G,Notebook,13.470914193256796,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.25kg,1495.8727238239835
1684,Lenovo,IdeaPad 320-15ABR,Notebook,14.348330141970285,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,512GB SSD,AMD Radeon 530,Windows 10,2.2kg,1069.8214367298895
1685,Dell,Precision 3520,Workstation,15.547237949863083,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro M620,Windows 10,2.17kg,2280.918588275274
1686,Dell,Inspiron 5567,Notebook,15.341378295759515,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon R7 M445,Linux,2.36kg,864.6069296535553
1687,Lenovo,Legion Y520-15IKBN,Gaming,16.085883499188764,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,1405.868425851119
1688,HP,Spectre Pro,Notebook,14.378686619102654,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.16kg,1511.8461932603252
1689,MSI,GE72MVR 7RG,Gaming,17.34731110607005,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,2272.914612129483
1690,HP,EliteBook 840,Notebook,14.992915601509054,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 7,1.54kg,1168.9395465031469
1691,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,18.69524890256662,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6GB,2TB HDD,AMD Radeon 530,Windows 10,2.71kg,692.5954493093585
1692,Lenovo,Thinkpad X1,Ultrabook,13.792811732068165,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.13kg,1854.4939544074994
1693,Acer,Aspire E5-576G,Notebook,15.142700383017521,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.23kg,502.71535171141676
1694,HP,EliteBook 1040,Ultrabook,14.160218030757665,Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.43kg,1237.122114373599
1695,Lenovo,Yoga 510-15IKB,2 in 1 Convertible,14.321160091395795,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,AMD Radeon R7 M460,Windows 10,2.08kg,1027.810373738628
1696,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.888848625061348,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Intel HD Graphics 400,Windows 10,1.4kg,531.5298197096507
1697,Dell,Inspiron 7570,Notebook,15.59781600130927,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.16kg,1267.6524628693758
1698,Google,Pixelbook (Core,Ultrabook,11.667746564234807,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,128GB SSD,Intel HD Graphics 615,Chrome OS,1.1kg,1312.293827057607
1699,Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,16.172248655875315,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,1.90kg,688.2422511071607
1700,Lenovo,IdeaPad Y900-17ISK,Gaming,18.523104102660103,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.6kg,2672.5737462630304
1701,HP,EliteBook 840,Ultrabook,12.786310722556111,2560x1440,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.54kg,2249.8565910135862
1702,Dell,Inspiron 5378,2 in 1 Convertible,12.665238615902958,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.71kg,738.5442189544228
1703,Asus,VivoBook E403NA,Notebook,13.689742516925335,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,338.2151089317349
1704,Dell,Inspiron 5579,2 in 1 Convertible,16.944694507173658,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg,712.8001152389987
1705,HP,Omen 17-W006na,Gaming,16.604267785249885,IPS Panel Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,Windows 10,2.75kg,1530.6993770141128
1706,Lenovo,Thinkpad E570,Notebook,17.045255290295604,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.3kg,1098.337904202936
1707,Dell,Inspiron 7567,Gaming,15.661301736140695,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,1163.90500002696
1708,Asus,VivoBook S15,Ultrabook,16.444887895293814,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,933.9798792667029
1709,Lenovo,Legion Y520-15IKBN,Gaming,16.534256268798117,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS,2.4kg,1253.402211906214
1710,Asus,VivoBook S15,Ultrabook,17.12400936977845,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5kg,1343.948319404702
1711,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.68489554413861,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,No OS,1.9kg,403.2096940276605
1712,Lenovo,Ideapad 320-15IAP,Notebook,14.926020101527232,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Windows 10,2.2kg,406.71954203547557
1713,Acer,Aspire 5,Notebook,16.73029077904531,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,560.4143502082442
1714,Lenovo,IdeaPad 320-15IAP,Notebook,15.233836953470815,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,No OS,2.2kg,337.9998847812629
1715,Lenovo,IdeaPad 110-15ISK,Notebook,15.25264771888759,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,No OS,2.2kg,440.54015232751834
1716,HP,ProBook 440,Notebook,16.629866996086847,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.63kg,677.5524566435556
1717,Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,15.024444427353412,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,1TB HDD,Intel HD Graphics 520,No OS,2.15kg,554.0927420533202
1718,Dell,Inspiron 3567,Notebook,17.029361974750056,1366x768,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,468.44348978645206
1719,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,16.062059281234387,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,1367.5016114130642
1720,Lenovo,ThinkPad 13,Notebook,12.383760231138059,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.44kg,895.6886027577308
1721,Dell,Inspiron 3567,Notebook,14.558047551522913,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,374.4907081934495
1722,HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,16.650565381367876,Touchscreen 1366x768,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.04kg,625.1379804135676
1723,Lenovo,IdeaPad 320-15AST,Notebook,15.473145631343924,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,336.7015610742365
1724,Dell,Inspiron 3552,Notebook,14.717280369389727,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics,Linux,2.2kg,224.92176973421337
1725,HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,14.074430492861314,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1318.0698751343323
1726,Apple,"MacBook 12""",Ultrabook,12.446578561118752,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg,1628.381590379659
1727,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,16.002470641993362,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,1.85kg,409.7801063465511
1728,Dell,Inspiron 3567,Notebook,15.471624277312422,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,433.2840712136739
1729,Toshiba,Tecra A50-D-11D,Notebook,16.461153418514666,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,1620.1428748332035
1730,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,16.242302823954446,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,1.85kg,444.04513374861665
1731,HP,Probook 440,Notebook,14.188790031760698,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,1.64kg,663.7602696161847
1732,Dell,Vostro 3568,Notebook,15.77720227653016,1366x768,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2kg,540.1837770784261
1733,Dell,Inspiron 7579,2 in 1 Convertible,15.743873094718898,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,512GB SSD,Intel HD Graphics 620,Windows 10,2.19kg,1205.5633251301938
1734,Samsung,Notebook 9,Ultrabook,12.25588425603011,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,1627.6081217699752
1735,Dell,Inspiron 5379,2 in 1 Convertible,13.289551170495464,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.55kg,636.888687673904
1736,Dell,XPS 15,Notebook,14.357095284142376,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,2434.6763935225263
1737,Acer,Swift 3,Ultrabook,14.646335366929415,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,828.6712404645984
1738,HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,15.249136502319285,Touchscreen 1366x768,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.04kg,613.5799323593388
1739,Lenovo,IdeaPad 110-17ACL,Notebook,17.816907326491837,1600x900,AMD A4-Series 7210 2.2GHz,4GB,500GB HDD,AMD Radeon R3,Windows 10,2.8kg,395.7577548149384
1740,Asus,VivoBook Pro,Gaming,16.51254116176383,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,1.99kg,1383.1949176718738
1741,HP,Spectre x360,2 in 1 Convertible,13.753561436694337,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.26kg,1133.186413742654
